time,city,pressure,temperature,descrption
2019-01-08 12:37:03.033000,London,1027,281.24,clear sky
2019-01-08 12:45:04.416000,London,1027,281.51,clear sky
2019-01-08 12:45:06.799000,New+York,1019,276.12,light rain
